country,activity,year,month,date,state,region,district,school_type,treatment,treat_phase,urban,student_id,grade,level,female,class_size,multigrade,age,language,clpm,clspm,csspm,cwpm,cnonwpm,unt_orf,orf,letter_score,letter_score_pcnt,letter_time_remain,letter_attempted,letter_attempted_pcnt,letter_sound_score,letter_sound_score_pcnt,letter_sound_time_remain,letter_sound_attempted,letter_sound_attempted_pcnt,fam_word_score,fam_word_score_pcnt,fam_word_time_remain,fam_word_attempted,fam_word_attempted_pcnt,oral_read_score,oral_read_score_pcnt,oral_read_time_remain,oral_read_attempted,oral_read_attempted_pcnt,read_comp_score,read_comp_score_pcnt,read_comp_attempted,read_comp_attempted_pcnt,unt_oral_read_score,unt_oral_read_score_pcnt,unt_oral_read_time_remain,unt_oral_read_attempted,unt_oral_read_attempted_pcnt,unt_read_comp_score,unt_read_comp_score_pcnt,unt_read_comp_attempted,unt_read_comp_attempted_pcnt,list_comp_score,list_comp_score_pcnt,list_comp_attempted,list_comp_attempted_pcnt,pa_num_sound_score,pa_num_sound_score_pcnt,pa_num_sound_attempted,pa_num_sound_attempted_pcnt,pa_phon_sound_score,pa_phon_sound_score_pcnt,pa_phon_sound_attempted,pa_phon_sound_attempted_pcnt,pa_diff_init_sound_score,pa_diff_init_sound_score_pcnt,pa_diff_init_sound_attempted,pa_diff_init_sound_attempted_pcnt,pa_init_sound_score,pa_init_sound_score_pcnt,pa_init_sound_attempted,pa_init_sound_attempted_pcnt,syllable_sound_score,syllable_sound_score_pcnt,syllable_sound_time_remain,syllable_sound_attempted,syllable_sound_attempted_pcnt,vocab_word_score,vocab_word_attempted,eq_orf,eq_oral_read_score,eq_oral_read_score_pcnt,eq_oral_read_attempted,eq_oral_read_attempted_pcnt,final_weight,strata1,strata2,strata3,strata4,strata5,fpc1,fpc2,fpc3,fpc4,fpc5,su1,su2,su3,su4,su5,wt1,wt2,wt3,wt4,wt5,cot_score,cot_attempted,cot_attempted_pcnt,invent_word_score,invent_word_score_pcnt,invent_word_time_remain,invent_word_attempted,invent_word_attempted_pcnt,eq_read_comp_score,eq_read_comp_score_pcnt,eq_read_comp_attempted,eq_read_comp_attempted_pcnt,cohort,intervention,encrypted_school_code
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010206,2,,Female,,,10,Amharic,15,,,0,0,,0,15,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,0,0,,,,,,,7,70,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010207,2,,Female,,,11,Amharic,102.6923065,,,83.33333588,46.31578827,,65.26316071,89,,8,,,,,,,,50,,24,,,62,,3,,,2,40,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,44,,3,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010208,2,,Female,,,8,Amharic,91,,,78.33333588,27,,65.45454407,91,,0,,,,,,,,47,,24,,,60,,5,,,5,100,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,27,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010209,2,,Female,,,9,Amharic,0,,,21,11,,19,0,,0,,,,,,,,21,,,,,19,,,,,0,0,,,,,,,,,,,,1,20,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,11,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010210,2,,Male,,,,Amharic,101.0526352,,,48.81356049,37,,39,96,,3,,,,,,,,48,,1,,,39,,,,,2,40,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,37,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010211,2,,Female,,,11,Amharic,54,,,24,9,,17,54,,0,,,,,,,,24,,,,,17,,,,,0,0,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,9,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010212,2,,Female,,,11,Amharic,70.16949463,,,47,24,,56,69,,1,,,,,,,,47,,,,,56,,,,,2,40,,,,,,,,,,,,3,60,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,24,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010213,2,,Female,,,8,Amharic,76,,,35,20,,18,76,,0,,,,,,,,35,,,,,18,,,,,1,20,,,,,,,,,,,,3,60,,,,,,,9,90,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,20,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010214,2,,Female,,,10,Amharic,67,,,37,25,,30,67,,0,,,,,,,,37,,,,,30,,,,,1,20,,,,,,,,,,,,3,60,,,,,,,7,70,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,25,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010215,2,,Male,,,8,Amharic,99,,,53.33333206,28,,47,99,,0,,,,,,,,48,,6,,,47,,,,,2,40,,,,,,,,,,,,3,60,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,28,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
